"var","Australe (90-60°S)","Boréale (60-90°N)","ratio_N_over_S"
"DSWRF",335.268351274878,247.700420920994,0.738812416916474
"PWAT",3.0269025927779,12.9239726661426,4.26970220217155
"T2m",13.9785477013718,27.6794820848905,1.9801400457484
"TCDC",10.1293130346964,9.35258267213871,0.923318554782824
