"year","month","date","band","T2m","T500","SPFH2m","PWAT","APCP","TCDC","DLWRF","ULWRF","DSWRF","USWRF","PRMSL","CSDSF","CSUSF","CSDLF","CSULF","CDUVB","DUVB","ALBDO"
1979,1,1979-01-01,"austral",264.604868483545,242.468124060277,0.00237247281755194,5.72718209787864,0.206408245064443,68.4372797929169,229.402784433898,280.654234328106,299.420727393888,157.096396790628,99160.7289972423,367.195599446479,173.915804679261,191.031556754867,280.662009691789,5.58136059257145,4.97460298463107,44.962439158422
1979,1,1979-01-01,"boreal",251.162936003211,235.385083646132,0.000937426371951683,3.25129566649782,0.202750843732549,79.1390980801385,189.019579441102,230.577603426923,3.63357412406597,2.10464802733588,101800.280104862,4.59326329858687,2.67626225009268,156.979652729337,230.452835497633,0.0501913676652611,0.0457108374293342,10.1357376424122
1979,1,1979-01-01,"global",285.391327771373,257.255361976002,0.00940509987780611,22.9104740092265,0.512932891675008,58.4360555048944,329.789293379623,387.214108376523,201.495376432198,28.9347134560936,101148.368603428,255.574152042895,35.2748836739708,304.783947418231,387.193098442209,4.13618291833737,3.47513024651502,11.0609733008496
1979,1,1979-01-01,"temperate_N",272.149860511218,246.894991600647,0.00394757409997095,9.65123809737005,0.515756226343669,72.1061632555148,266.601935249298,320.787966779951,71.0853426479339,19.6883555833069,101707.265761951,100.131326171269,26.2750005576075,228.201202310518,320.815420691074,1.26035564311793,1.00232333312528,14.8832771617225
1979,1,1979-01-01,"temperate_S",286.309585367326,256.237145525182,0.00785957019470807,18.8775658544151,0.441192697849026,69.084972432506,335.157798998781,383.743047139824,249.966413758666,17.6994110064983,100799.633827272,364.66108682237,26.4751961862908,295.992495691633,383.746047960504,5.78815663950553,4.37657753719451,6.05005966366318
1979,1,1979-01-01,"tropical",297.04475083589,266.165900441125,0.013965575404554,33.9841080612007,0.618527685069067,45.6237391748721,382.246356240984,446.922796057617,244.204407530838,23.0882055968225,101247.073027493,290.569658621058,27.842100253081,369.876103988561,446.885379194226,4.92427433398571,4.29592826334283,7.17745253781701
1979,2,1979-02-01,"austral",261.540813654891,241.302355742532,0.00214265172126003,5.40076721392961,0.264021139354442,68.2824066111776,221.358858010865,270.667191682424,195.732556844776,96.8643099807879,99189.6962338593,248.689597220787,108.277009121916,183.551541679326,270.66006930562,3.52539507258485,3.07844412234028,40.8876101559006
1979,2,1979-02-01,"boreal",247.669535751402,234.340888357019,0.000819355838891766,2.77365432572705,0.188971845422655,80.0894969046839,178.239148346676,218.633944729099,19.7709960333541,12.5468692917967,101730.423581966,24.7465503628502,15.4221566990718,146.859903790885,218.499765733601,0.268265029380757,0.244836556243712,22.4692801955802
1979,2,1979-02-01,"global",285.351800180801,257.418668980619,0.00953040733029402,22.967889805358,0.505765457676482,58.6474003412227,330.763631526382,387.551488051311,199.300106259801,27.5674642691751,101159.392288238,252.979446060845,34.0680785315041,305.281811157913,387.527846846142,4.08941207327997,3.43800691999824,11.804242753432
1979,2,1979-02-01,"temperate_N",273.157394371802,247.641649561634,0.00410328076420604,9.85963861420746,0.514638797318963,74.9389179761287,273.150984878096,324.24118190687,103.444673525429,29.699343575792,101555.772604113,147.424951161403,39.3421716251432,231.890841364896,324.251079438205,1.9570944655175,1.53954627103228,16.5254712124389
1979,2,1979-02-01,"temperate_S",286.577894171449,256.652682374372,0.00801585064515671,19.2266683493636,0.468217549673696,71.7600799607011,339.021624698506,385.811966681317,205.06450589729,14.6565254264369,100993.977696142,309.835798288247,22.8330012593695,297.789525169784,385.812852311336,4.85904338904989,3.58642994612742,5.56106181579363
1979,2,1979-02-01,"tropical",297.362566723171,266.358777644237,0.0141469721137703,34.0016064484812,0.589196096482595,43.9470350548701,382.87644117639,448.463798213257,255.835404372173,24.3666235660329,101258.804641323,301.008299149166,28.9562515520638,371.181989164573,448.431453084036,5.15588717475675,4.53569938689331,7.1554603298467
