"band","sen_T2m","sen_PWAT","sen_DSWRF","sen_TCDC","sen_DLWRF","sen_CSDLF"
"Australe (90-60°S)",-0.00783383786789887,0.00335520737028118,0.00771736136341895,0.0558020308941674,-0.0133074586993322,0.0159799245976282
"Tempérée S (60-30°S)",0.00734270777359143,0.0243238389515348,0.0593930340654988,-0.0405288086800105,0.02950013316035,0.0955226526729518
"Tropicale (30°S-30°N)",0.0136040214230778,0.0788180136306228,0.143749826125715,0.256278176054415,0.149241151891129,0.192654551151065
"Tempérée N (30-60°N)",0.0241468149901864,0.02979263752545,0.036347422939006,-0.0552592587759872,0.104453479601158,0.185538407904635
"Boréale (60-90°N)",0.0516141232781643,0.0117936369888436,-0.0207446953463536,-0.0343411573223414,0.162771781308537,0.188374083124889
