"band","var","mean","sd"
"Australe (90-60°S)","ALBDO",33.2529678750762,19.4114670153161
"Australe (90-60°S)","APCP",0.282435578726572,0.0340088903274395
"Australe (90-60°S)","CDUVB",2.32318565181705,2.34797508148506
"Australe (90-60°S)","CSDLF",168.393180090823,15.3166998265548
"Australe (90-60°S)","CSDSF",152.573708777952,147.228438838618
"Australe (90-60°S)","CSULF",251.860265399521,18.3193414138597
"Australe (90-60°S)","CSUSF",83.14603670191,82.909302552671
"Australe (90-60°S)","DLWRF",207.331564475644,16.0363717868956
"Australe (90-60°S)","DSWRF",122.076749573019,121.136750726871
"Australe (90-60°S)","DUVB",2.06161464911649,2.10416006036808
"Australe (90-60°S)","PRMSL",99186.542096952,410.720698767308
"Australe (90-60°S)","PWAT",4.41740481323296,1.07250303271393
"Australe (90-60°S)","SPFH2m",0.001667706276231,0.000454684002921968
"Australe (90-60°S)","T2m",256.91324976907,4.94828915870327
"Australe (90-60°S)","T500",238.561281911406,2.75254158631041
"Australe (90-60°S)","TCDC",74.7770382962303,4.04896314017469
"Australe (90-60°S)","ULWRF",251.873355641356,18.3143927434231
"Australe (90-60°S)","USWRF",72.2135619746228,73.5717476587091
"Tempérée S (60-30°S)","ALBDO",5.41683076453516,0.736964360856768
"Tempérée S (60-30°S)","APCP",0.529248874824611,0.0660359195771608
"Tempérée S (60-30°S)","CDUVB",3.36641739742677,1.82176994076937
"Tempérée S (60-30°S)","CSDLF",280.478563486871,12.6286428319149
"Tempérée S (60-30°S)","CSDSF",223.979683874302,107.095331790347
"Tempérée S (60-30°S)","CSULF",371.893687447393,8.82532269312852
"Tempérée S (60-30°S)","CSUSF",18.3171135114872,7.12205454725234
"Tempérée S (60-30°S)","DLWRF",325.311114872257,9.79915959871215
"Tempérée S (60-30°S)","DSWRF",145.373138459452,74.0523645963291
"Tempérée S (60-30°S)","DUVB",2.46350604107134,1.37013693541664
"Tempérée S (60-30°S)","PRMSL",100943.041837335,119.725809574357
"Tempérée S (60-30°S)","PWAT",16.0199100838931,2.65242836568272
"Tempérée S (60-30°S)","SPFH2m",0.00672916849790076,0.00086628464282361
"Tempérée S (60-30°S)","T2m",283.818129119222,1.82857440328155
"Tempérée S (60-30°S)","T500",252.792185113921,3.0722619692742
"Tempérée S (60-30°S)","TCDC",75.0872120564233,2.87221153752573
"Tempérée S (60-30°S)","ULWRF",371.886575447493,8.82863980529554
"Tempérée S (60-30°S)","USWRF",11.2844516660728,5.14072381895106
"Tropicale (30°S-30°N)","ALBDO",7.15715553747577,0.0888238397766036
"Tropicale (30°S-30°N)","APCP",0.615681059415045,0.0317898250127977
"Tropicale (30°S-30°N)","CDUVB",4.90402960692333,0.231077664318315
"Tropicale (30°S-30°N)","CSDLF",375.679158866229,3.96326980857297
"Tropicale (30°S-30°N)","CSDSF",288.483916123926,11.2815512891741
"Tropicale (30°S-30°N)","CSULF",451.49696928285,2.69488023193155
"Tropicale (30°S-30°N)","CSUSF",27.9332678284508,0.756328886062418
"Tropicale (30°S-30°N)","DLWRF",387.926030234829,3.59279193497253
"Tropicale (30°S-30°N)","DSWRF",244.163274027992,11.013608483555
"Tropicale (30°S-30°N)","DUVB",4.30600529882774,0.221464534049965
"Tropicale (30°S-30°N)","PRMSL",101308.782085361,53.407474051577
"Tropicale (30°S-30°N)","PWAT",35.6326880433496,1.36777303366025
"Tropicale (30°S-30°N)","SPFH2m",0.0143157513728336,0.000345139867792838
"Tropicale (30°S-30°N)","T2m",297.79562976825,0.450297893275855
"Tropicale (30°S-30°N)","T500",266.800341540905,0.491278794285769
"Tropicale (30°S-30°N)","TCDC",50.0617314280884,4.81449004428964
"Tropicale (30°S-30°N)","ULWRF",451.500313447802,2.68525318811597
"Tropicale (30°S-30°N)","USWRF",23.4887264956329,0.837252616650513
"Tempérée N (30-60°N)","ALBDO",11.3320533045837,2.05803982448101
"Tempérée N (30-60°N)","APCP",0.47297844058759,0.042623563650927
"Tempérée N (30-60°N)","CDUVB",3.30456879508104,1.61196139644596
"Tempérée N (30-60°N)","CSDLF",278.511287758474,36.5162599994144
"Tempérée N (30-60°N)","CSDSF",221.934711757533,94.5582326650054
"Tempérée N (30-60°N)","CSULF",369.80741131297,32.7093108029309
"Tempérée N (30-60°N)","CSUSF",34.6710165671351,10.7218259186869
"Tempérée N (30-60°N)","DLWRF",310.235446473757,30.7838110068357
"Tempérée N (30-60°N)","DSWRF",164.87369660768,71.9265846332409
"Tempérée N (30-60°N)","DUVB",2.65174231994214,1.29279654143956
"Tempérée N (30-60°N)","PRMSL",101546.714587983,173.885380051414
"Tempérée N (30-60°N)","PWAT",16.5017937962947,6.04629081805336
"Tempérée N (30-60°N)","SPFH2m",0.00651859418822721,0.00210153817308604
"Tempérée N (30-60°N)","T2m",282.88226185566,6.76591637829737
"Tempérée N (30-60°N)","T500",254.528532332641,5.57122341774097
"Tempérée N (30-60°N)","TCDC",63.2275298935343,6.41272727445792
