"var","mean_05","mean_25","abs_diff_mean","abs_diff_max","rel_diff_mean_pct","correlation"
"T2m",287.693460624847,287.713871066519,0.0204104416714294,0.0326437036139851,0.00708934796548743,0.99999694444819
"T500",258.59033141187,258.593774603197,0.00344319132753771,0.0041328938060019,0.00133170183833792,0.99999997089245
"SPFH2m",0.00991049757994621,0.00991070627155651,1.21729007023419e-06,4.21766015530102e-06,0.0122025575411818,0.999992892335747
"PWAT",24.6859219421564,24.7047628995322,0.0188409573757352,0.0297838630016969,0.0760019810498096,0.999998611263149
"APCP",0.53029888606303,0.529751295314039,0.00174576311422664,0.00803072139190197,0.327957510718554,0.99463785498743
"TCDC",60.4981019593084,60.4669283883198,0.0317167367752194,0.0801722633403017,0.05245892945501,0.999968577247273
"DLWRF",341.102427420288,341.18032272547,0.0778953051817598,0.136342419241998,0.02281007526881,0.999996618099341
"ULWRF",398.046696169563,398.121990752421,0.0757896519543497,0.213226367964012,0.0189166136378717,0.999973996474402
"DSWRF",193.977930324911,194.028189385743,0.06737329429538,0.240579096728993,0.0349269040825404,0.999948961022286
"USWRF",26.1597134362116,26.1495650648883,0.0357886187453332,0.128918399393502,0.140772416448743,0.999915529893198
"PRMSL",101143.179042345,101143.188222381,0.153452009584176,0.705907785988529,0.000151715868436286,0.99990075349855
"CSDSF",245.865273570537,245.868800805214,0.0104181389462818,0.039625490371975,0.00417729191160433,0.999998357282036
"CSUSF",32.9158756096349,32.8867930874283,0.0482977677450566,0.186336325804401,0.15236974358547,0.999887740437057
"CSDLF",315.714772557519,315.804303276611,0.089530719091959,0.157911374877017,0.02824002222926,0.99999455590767
"CSULF",398.04422152537,398.118963102797,0.0753042848600562,0.21362962891402,0.0187942033383566,0.999973969609413
"CDUVB",3.96736727407809,3.96741051595447,0.000378998240212139,0.00103809919457021,0.00945936607090661,0.999995336555709
"DUVB",3.33909353496999,3.33992761320796,0.00109492296286528,0.00358844534880021,0.0328937357579851,0.99996681452102
"ALBDO",10.5502370960768,10.5407713525278,0.014613347728557,0.0624746888196803,0.147916936166423,0.999930861873445
