"var","brute","homog","diff"
"CRE_SW",0.488957101634974,0.0461016353441949,-0.442855466290779
"CRE_LW",-0.52331319295418,-0.0940179381355917,0.429295254818589
"DSWRF",0.436582618162865,0.0116775587735837,-0.424905059389281
"CRE_net",0.431673834895254,0.0135262755827489,-0.418147559312505
"DUVB",0.218195063671095,-0.147867932786877,-0.366062996457972
"PRMSL",-0.39352226257204,-0.0429662617095925,0.350556000862447
"TCDC",0.0802375875798338,-0.266548863402145,-0.346786450981978
"DLWRF",-0.056127729410147,0.250620497709841,0.306748227119988
"USWRF",0.130194390073535,-0.0547368933336727,-0.184931283407208
"T2m",0.233106003956568,0.351965717846445,0.118859713889877
"CDUVB",-0.309006772487861,-0.217005062306316,0.0920017101815452
"ULWRF",0.199978315733466,0.290731481665139,0.0907531659316736
"CSULF",0.199993451620464,0.290351058636163,0.0903576070156992
"ALBDO",-0.121338211811085,-0.208773419777939,-0.0874352079668541
"CSDSF",-0.134709907313275,-0.0655382624861605,0.0691716448271147
"SPFH2m",0.188099373184251,0.255022635169705,0.0669232619854546
"CSDLF",0.241672130376868,0.304144466631069,0.0624723362542009
"PWAT",0.156873189010077,0.180918928979457,0.0240457399693802
"T500",0.224015376141759,0.247606894376955,0.0235915182351954
"APCP",-0.280421354186778,-0.300969607990531,-0.020548253803753
"CSUSF",-0.114013028760212,-0.0988186433319966,0.0151943854282158
