"repr","var","F_x_to_co2","p_x_to_co2","F_co2_to_x","p_co2_to_x","sig_x_to_co2","sig_co2_to_x","sens"
"d12","CSDLF",8.87983036260385,3.00324244199963e-09,1.73614795994284,0.110476384837114,TRUE,FALSE,"X -> CO2"
"d12","SPFH2m",8.5753058161027,6.49245147404807e-09,2.40048713176136,0.0268130642866392,TRUE,TRUE,"bidirectionnel"
"d12","PWAT",8.40465083410745,1.00023093303402e-08,2.30226314209232,0.033314699369156,TRUE,TRUE,"bidirectionnel"
"d12","DLWRF",8.34509591989791,1.16307587604938e-08,1.74412807314548,0.108706948930276,TRUE,FALSE,"X -> CO2"
"d12","T500",8.09199333157323,2.20819562069456e-08,3.48983141542542,0.00215088803791991,TRUE,TRUE,"bidirectionnel"
"d12","ULWRF",7.682940545346,6.22348416992247e-08,1.09020462950138,0.366936193155476,TRUE,FALSE,"X -> CO2"
"d12","CSULF",7.66645886088814,6.48878006714273e-08,1.0792346724032,0.373627784808331,TRUE,FALSE,"X -> CO2"
"d12","T2m",6.2172778103006,2.53129061883241e-06,1.32590611167006,0.243559526916988,TRUE,FALSE,"X -> CO2"
"d12","CSDSF",4.16341367551147,0.000421735635073126,0.972976899153309,0.442746926225585,TRUE,FALSE,"X -> CO2"
"d12","PRMSL",3.97334445682086,0.000670346193645614,0.787242289518326,0.58015948053734,TRUE,FALSE,"X -> CO2"
"d12","CDUVB",2.6050306505315,0.01694578568229,0.321861611749076,0.925587198150728,TRUE,FALSE,"X -> CO2"
"d12","USWRF",2.53009804439924,0.0200678589516972,2.57492265379183,0.0181395800842266,TRUE,TRUE,"bidirectionnel"
"d12","CRE_LW",2.43875524837641,0.0246236754833775,0.829550387366578,0.547311765664158,TRUE,FALSE,"X -> CO2"
"d12","TCDC",2.3450914631403,0.0303140145649606,2.18949287711961,0.0426215842715079,TRUE,TRUE,"bidirectionnel"
"d12","CSUSF",2.12327698134926,0.0491786499424457,1.29058304323146,0.259612577623787,TRUE,FALSE,"X -> CO2"
"d12","DSWRF",2.07976666913843,0.0539912004300031,1.57914610257372,0.150959883045709,FALSE,FALSE,"aucun"
"d12","CRE_net",1.72996736357701,0.111864621116622,2.22275461239686,0.0396477508364202,FALSE,TRUE,"CO2 -> X"
"d12","CRE_SW",1.60388016076197,0.143818013738909,1.98699922492262,0.0657591512708869,FALSE,FALSE,"aucun"
"d12","DUVB",1.41014044291518,0.208536965026777,1.08075523790725,0.372695198834292,FALSE,FALSE,"aucun"
"d12","ALBDO",1.23062321744733,0.288789520932171,2.63947608889168,0.0156727328482556,FALSE,TRUE,"CO2 -> X"
"d12","APCP",1.09042972638326,0.366799772673898,2.68967338855241,0.013981264951863,FALSE,TRUE,"CO2 -> X"
"resid","SPFH2m",0.988193119115762,0.432354991606026,0.138397004379476,0.991165487138178,FALSE,FALSE,"aucun"
"resid","T500",0.926319512612012,0.475431930945342,0.186523017628724,0.980558105110378,FALSE,FALSE,"aucun"
"resid","CSDLF",0.878676795791727,0.510184540170526,0.179890721897584,0.982302191366485,FALSE,FALSE,"aucun"
"resid","PWAT",0.826867096203181,0.549359829766659,0.223206203047775,0.969262797586769,FALSE,FALSE,"aucun"
"resid","ULWRF",0.519725320383114,0.793532451889142,0.311427554010661,0.931068571304834,FALSE,FALSE,"aucun"
"resid","CSULF",0.516906302380097,0.795688146068692,0.314442202512941,0.929506338714793,FALSE,FALSE,"aucun"
"resid","T2m",0.40068009993296,0.878663869172798,0.458938501169786,0.838697863413801,FALSE,FALSE,"aucun"
"resid","DLWRF",0.318913481732697,0.927160203067582,0.408578551477967,0.873476556488385,FALSE,FALSE,"aucun"
"resid","CRE_LW",0.29662127728672,0.938507787329074,1.23336922269464,0.2873559416377,FALSE,FALSE,"aucun"
"resid","CSDSF",0.225247643086283,0.96855253592806,0.298485088485447,0.937592986722144,FALSE,FALSE,"aucun"
"resid","CDUVB",0.210536853799331,0.97347897970068,1.12569409807616,0.345832755718144,FALSE,FALSE,"aucun"
"resid","TCDC",0.154671075126831,0.988105602966528,0.105697027348826,0.995767019104062,FALSE,FALSE,"aucun"
"resid","DUVB",0.102422349664549,0.996120086227714,0.122041366879651,0.993717469422979,FALSE,FALSE,"aucun"
"resid","DSWRF",0.0957774194806744,0.996779781880891,0.848994137601382,0.532465798275922,FALSE,FALSE,"aucun"
"resid","CRE_SW",0.0880676387123606,0.997452894055789,1.08500371285063,0.370064092169763,FALSE,FALSE,"aucun"
"resid","CRE_net",0.0807686088013681,0.998002728288581,1.15195062357381,0.330819043218344,FALSE,FALSE,"aucun"
"resid","USWRF",0.059301824908061,0.9991703803925,0.338818000497119,0.916305558841079,FALSE,FALSE,"aucun"
"resid","ALBDO",0.0413677395394825,0.999706753409864,0.935901656539547,0.468603474554358,FALSE,FALSE,"aucun"
"resid","PRMSL",0.0383090783748741,0.999765493469242,0.466469178156193,0.833270437342687,FALSE,FALSE,"aucun"
"resid","APCP",0.0328654866336586,0.999850094723723,1.2588971479898,0.274680304975577,FALSE,FALSE,"aucun"
"resid","CSUSF",0.0306949653368555,0.999877275449176,0.77132706151161,0.592686716027698,FALSE,FALSE,"aucun"
