"var","level","anom","resid","d1","d12"
"CRE_LW",-0.681702601919215,-0.731910046670342,-0.523313192954182,0.0703133566639115,0.0488453335015951
"CRE_SW",0.339111040801271,0.537972820379511,0.488957101634974,0.120527257760596,-0.077907649244141
"DSWRF",0.211171505592191,0.53874561467426,0.436582618162865,0.464848899652062,-0.0067485469636146
"CRE_net",0.142370379459248,0.321323329200493,0.431673834895254,0.150943190585145,-0.0818094755071429
"PRMSL",-0.0241319005030075,-0.0214942332277274,-0.39352226257204,0.186194694534632,0.0101566341544467
"CDUVB",0.103243253498756,0.489520708036473,-0.309006772487861,0.331488954136295,0.0359514460694948
"APCP",0.511652794572975,0.595350305023518,-0.280421354186778,-0.292475643544285,0.0440246044222637
"CSDLF",0.314458940584987,0.888332539203724,0.241672130376868,-0.523331644621719,0.10216777691567
"T2m",0.165222156805985,0.801976894526641,0.233106003956568,-0.471141041251798,0.114898743538205
"T500",0.418361207197416,0.837570554956312,0.224015376141759,-0.537748094168792,0.172772294015315
"DUVB",0.247667903939412,0.718688665616469,0.218195063671095,0.403629840024492,-0.018786308636468
"CSULF",0.173053210437143,0.82830236818829,0.199993451620464,-0.48089535240248,0.0753984713722801
"ULWRF",0.173496207800402,0.828470620024354,0.199978315733466,-0.481120254949322,0.0753379686745655
"SPFH2m",0.419199378899359,0.845171031120277,0.188099373184251,-0.546218271477936,0.0662597511528176
"PWAT",0.528906371191289,0.881994518248643,0.156873189010077,-0.521882415280976,0.0964863838474469
"CSDSF",-0.00289188857905231,-0.0194734605971412,-0.134709907313275,0.384782831750493,0.0960311628277691
"USWRF",0.0480419449296901,0.293820963455266,0.130194390073535,0.697631172520045,0.0284733893611165
"ALBDO",-0.0112515084793931,-0.0439125548643683,-0.121338211811085,0.241772032030262,0.0264776012474225
"CSUSF",0.000752099763172739,7.80995137083419e-05,-0.114013028760212,0.718988899539725,0.0603893872929213
"TCDC",0.764600387220068,0.784675121237141,0.0802375875798338,0.300415924050748,-0.00396332587299471
"DLWRF",0.220879627297468,0.72125445242408,-0.056127729410147,-0.516474248843914,0.110141726478269
