"year","month","date","T2m","T500","SPFH2m","PWAT","APCP","TCDC","DLWRF","ULWRF","DSWRF","USWRF","PRMSL","CSDSF","CSUSF","CSDLF","CSULF","CDUVB","DUVB","ALBDO","CRE_SW","CRE_LW","CRE_net"
1979,1,1979-01-01,285.40766072157,257.25862729928,0.00940572458656194,22.9268017567038,0.51393983171863,58.4234186690161,329.882185314548,387.201488004852,201.423440664552,29.0003914702956,101148.282421845,255.593393734123,35.3581114087356,304.841751517261,387.179805258858,4.13709519393676,3.47455224517226,11.081320870401,-47.812233131131,25.018751051293,-22.793482079838
1979,2,1979-02-01,285.369593252048,257.422629795104,0.00953136920918115,22.9863721402392,0.510288973367065,58.633876569038,330.848406095843,387.551839405379,199.311226141958,27.616200188839,101159.296041534,252.991820520826,34.1081984197316,305.346901936422,387.52429975448,4.0900140649845,3.438671755656,11.8161358078914,-47.1885961479754,25.473964508522,-21.7146316394534
1979,3,1979-03-01,286.26742704779,257.472174202015,0.00960994425691859,23.3585825479865,0.50760493106513,58.9795605607438,334.593214990306,391.562214908393,197.007981227103,27.1481528122462,101155.300194358,249.145634947873,34.3465978553481,308.564655505977,391.545487218991,4.00097785053686,3.37921712004796,12.2892927119521,-44.9392086776681,26.011831794927,-18.927376882741
1979,4,1979-04-01,287.18050259722,257.749695331198,0.00970300876786788,23.3742288413615,0.503231159847559,58.4984338312281,337.195070858737,395.636608414755,195.944424416558,28.4921032154451,101144.742736417,245.28259542721,35.9596639522471,311.393683426284,395.630682499087,3.90126904111855,3.32142414693448,11.9003474631044,-41.87061027385,25.795461516785,-16.075148757065
1979,5,1979-05-01,288.263194306762,258.439126515101,0.00995163974488673,24.2748554742785,0.524946773808921,58.877047665635,342.79423007755,400.53354512999,191.449508064359,27.6105408566899,101134.242443046,241.114677660558,35.075637581433,316.69492702212,400.550292090055,3.82657198502061,3.23616662702314,10.3720117625842,-42.2000728714559,26.116050015495,-16.0840228559609
1979,6,1979-06-01,289.104627613966,259.262744249913,0.0101628272484533,25.3236001314631,0.536755792145446,58.9018922694661,347.437725971629,404.768383961595,186.802864712718,25.1059614111196,101134.503412934,237.835278824003,32.4635947604201,321.544862173346,404.783209077645,3.78878702716889,3.175855448282,9.13972432681083,-43.6747807619845,25.9076889143329,-17.7670918476516
1979,7,1979-07-01,289.325597375137,259.719281857097,0.0102875912222341,25.8811264052996,0.538685249139554,58.7816812375447,349.570860957801,406.120710371453,184.473499145627,22.7506521601787,101132.477462732,236.354399363572,29.7052260248936,323.768634706648,406.130321021019,3.78494178377238,3.15525787068381,8.81391526735896,-44.9263263532301,25.811836900719,-19.1144894525112
1979,8,1979-08-01,289.289187670278,259.393331843066,0.0102969696425731,25.5958370773344,0.526366542605782,58.6195651580679,349.348698979949,406.086916965027,185.181331145125,21.2601339076608,101138.27273167,238.105180748954,27.9895729824438,322.996657700398,406.092812960639,3.80924235054674,3.17285399766954,9.30737646020198,-46.194410529046,26.357937275163,-19.836473253883
1979,9,1979-09-01,288.68841411287,258.720120462562,0.00999723441899035,24.6721091110384,0.52004348390703,58.0450590957032,345.171093962426,402.84175554831,189.389082751963,22.1785284591514,101141.495611133,242.624898550456,28.7343693813381,318.980490250228,402.850673994352,3.85996039185787,3.22840255184513,10.3025100114586,-46.6799748763063,26.19952215824,-20.4804527180663
1979,10,1979-10-01,287.650576901011,258.106872677241,0.00967950252488274,23.6399459196683,0.499610211639071,58.9420619410425,339.909479600512,397.728980428673,194.252743711506,25.5141413659988,101136.379337573,248.538514439001,32.2986966554084,313.343846539917,397.738062911232,3.95846804290555,3.3142654756395,11.041673711475,-47.5012154380854,26.574715543154,-20.9264998949314
