"date","year","month","T2m","T500","SPFH2m","PWAT","APCP","TCDC","DLWRF","ULWRF","DSWRF","USWRF","PRMSL","CSDSF","CSUSF","CSDLF","CSULF","CDUVB","DUVB","ALBDO","CRE_SW","CRE_LW","CRE_net","co2_avg","co2_trend"
1980-06-01,1980,6,289.225761508931,259.431239185114,0.0101246673872814,25.3205997683656,0.536250989822282,58.8166330081528,348.106944103661,405.469835460609,186.770164575338,25.1099885943743,101135.494894805,237.802228593038,32.4733396852697,321.845427068658,405.497096857783,3.78957942240748,3.17730572182736,9.09199931669854,-43.6687129268046,26.288778432177,-17.3799344946276,339.99,339.23
1980-07-01,1980,7,289.583331703213,259.837062185386,0.0102838901545325,25.9547816475255,0.536512935733515,59.268372560068,350.990891791897,407.185248524783,182.967247274211,22.7536445545567,101119.751463699,236.317553148295,30.0586031304749,324.46870004728,407.20472829879,3.78596288591517,3.13829138659199,8.87815526823043,-46.0453472981658,26.541671518624,-19.5036757795418,338.44,339.28
1980-08-01,1980,8,289.400620376943,259.656261565561,0.0102800711884481,25.6929769891245,0.534425298362381,59.2429461452124,349.967192871244,406.218241902496,183.841860487664,21.4070961201704,101131.939066751,238.063294107054,28.1611121666589,323.416366923269,406.230113512089,3.80879424973725,3.15194358309333,9.38816812593396,-47.4674175729015,26.562697557568,-20.9047200153335,337.22,339.5
1980-09-01,1980,9,288.692335430819,258.986893458427,0.00995269285141808,24.474410139192,0.521091424472391,57.5321745000264,344.660471251068,402.610247318516,190.272965073458,22.54842783169,101133.641796087,242.840225233695,28.9802709862196,318.572915692277,402.631305857073,3.86715269172733,3.24169134363301,10.4291010656472,-46.1354170057074,26.108614097348,-20.0268029083593,337.05,339.44
1980-10-01,1980,10,287.567193538752,257.96561784545,0.00960861425379865,23.5970736748724,0.513537080797687,58.6536677189978,339.402680510607,397.053726737578,194.152648017886,26.0712907395585,101140.707218531,248.719954683173,32.8676892190842,312.569888288597,397.07418156624,3.96757432579299,3.31814667772065,11.1326620581253,-47.7709081857613,26.853247050672,-20.9176611350893,337.82,339.17
1980-11-01,1980,11,286.514578992273,257.485215612946,0.00938210618777738,22.8618067587508,0.508169486419068,58.6455570799932,333.720588041077,392.018958437925,200.212605374232,30.0389433292695,101139.038592875,253.925135973667,36.7451235089496,307.844240745434,392.011653449053,4.07319798230128,3.42607814984838,11.2095288121738,-47.0063504197549,25.869042306771,-21.1373081129839,338.93,339.26
1980-12-01,1980,12,285.831296207188,257.242557784712,0.00930987566934764,22.6894822888307,0.499128266174344,58.4701207768052,330.726096257499,388.836337947894,202.876376458332,30.3564299993144,101140.923760483,256.650152051118,36.6951850118215,305.299768101837,388.797035779195,4.13162691860619,3.47988833977339,10.660423576215,-47.4350205802789,25.3870259869631,-22.0479945933158,339.64,339.4
1981-01-01,1981,1,285.939330577999,257.488426745555,0.00938474478413959,22.8950867334261,0.521131266757168,58.5953506423893,331.499602400079,389.222424786054,201.172745702636,28.4748277859456,101144.830476055,255.838839193964,34.6934062077078,306.183256022189,389.17867969641,4.13265709340964,3.46477024453077,10.7359260569927,-48.4475150695658,25.272601288246,-23.1749137813198,340.18,339.55
1981-02-01,1981,2,286.043509639519,257.736743589525,0.009559027574787,23.4721591100973,0.525101404589513,59.4120875901428,333.590240898473,389.774208149295,197.158868570784,26.5390732958802,101152.298386741,252.780458634664,33.1536549904566,307.655881042407,389.741929141241,4.08846330195906,3.41228601897127,11.3907172608973,-49.0070083693036,25.902080848012,-23.1049275212916,340.75,339.71
1981-03-01,1981,3,286.77436765762,257.705524186478,0.00971525115128299,23.7300533717261,0.50742161129239,58.5939739311686,336.216098595118,393.445948799339,196.767039331951,26.2301894251018,101141.769260932,248.661668569189,33.1222468831814,310.778976260143,393.429455589702,3.99617194983433,3.37514374842393,11.8605678771947,-45.0025717791584,25.420629125338,-19.5819426538204,341.38,340.02
1981-04-01,1981,4,287.596319741371,257.857434186626,0.00980509253209766,23.9343071572924,0.504617090990277,58.2965102262243,339.233752401941,397.416754283008,195.255685985854,27.2880854101283,101153.845288807,244.710835747924,34.4446613226526,313.683197964125,397.438625278527,3.89784909183366,3.31414121276931,11.3731669321155,-42.2985738495457,25.572425433335,-16.7261484162107,341.68,340.08
1981-05-01,1981,5,288.519118217796,258.617895878782,0.00993123487241511,24.4948559876258,0.521573995920455,58.3556959980569,343.551694723628,401.778457526909,191.978077147741,27.2347302895901,101136.749211774,240.874748440998,34.5490536540862,317.711714976934,401.820881511787,3.82894381866284,3.24873199397568,10.1880650801601,-41.5823479287609,25.882403731572,-15.6999441971889,341.43,339.88
1981-06-01,1981,6,289.28984377641,259.183404646588,0.0101030886542938,25.0516304730027,0.530300809744289,58.3496163647647,347.485429119045,405.708816198655,187.921263355134,24.8147036519998,101120.635604041,237.814986140433,32.0504926551209,321.554804372615,405.74477031185,3.7895336476123,3.19194090136743,9.01306298599192,-42.6579337821779,25.966578859625,-16.6913549225529,340.63,339.86
1981-07-01,1981,7,289.476733882651,259.852705783881,0.0103057837626624,25.9541569551269,0.547023069868572,59.2363038427433,350.283472262841,406.584435450365,183.491625076781,22.7143390601118,101118.087136861,236.219578025056,29.9082692344202,324.242595437051,406.614215754455,3.7866588959501,3.14463158878989,8.87490211789605,-45.5340227739666,26.07065712988,-19.4633656440866,339.23,340.07
1981-08-01,1981,8,289.437707629866,259.666535880419,0.0102297572289763,25.2633367242873,0.537643184270761,57.8592325572523,348.361559684795,406.355619206083,186.644475480824,21.4833384255733,101116.851869968,238.298220476388,28.0337408932207,322.934685740164,406.380502279176,3.81140395217456,3.18720069350451,9.37027646471635,-45.1033425279166,25.451757017724,-19.6515855101926,338.08,340.37
1981-09-01,1981,9,288.720851495983,258.846259175468,0.00998186803726428,24.3816503182663,0.529842339972572,56.9544510440807,343.516230157238,402.610528478766,192.328635145709,22.6035760790267,101121.435172572,242.909177318551,28.8955280566758,318.436711737763,402.627115178162,3.86532039162903,3.26457508922697,10.3779571927039,-44.2885901951929,25.096105118871,-19.1924850763219,337.97,340.36
1981-10-01,1981,10,287.548653221361,257.978439584732,0.00958556892366382,23.2554869511761,0.522000317731252,57.7885903720505,337.743885712872,396.85926082138,196.365263413043,26.3139742120848,101135.04170444,248.943359326764,32.9110734509495,311.979484830783,396.871079966053,3.96068624152287,3.33369384591726,11.1598286729585,-45.9809966748563,25.776220026762,-20.2047766480944,339.07,340.42
1981-11-01,1981,11,286.344138306036,257.481173350164,0.00932239612495148,22.651793958093,0.517075580706531,59.2271601284843,333.09012998134,390.799692455678,197.738380632341,29.9665160816964,101142.26325447,254.149301970653,36.9996884692612,306.668573106273,390.796364165666,4.06831516280863,3.38275644170734,11.3009550279617,-49.3777489507472,26.418228585055,-22.9595203656922,340.17,340.5
1981-12-01,1981,12,285.852406179119,257.365172243551,0.0092662608790683,22.7240002499666,0.513114995480177,59.282871393116,330.807073735963,388.607816640896,200.01068383746,30.4865969502786,101136.072315586,256.711584599874,37.1262465415877,305.119928398335,388.600333143733,4.13526489666688,3.43982748025818,10.8586128596439,-50.0612511711049,25.679661840465,-24.3815893306399,340.74,340.51
