"var","long_name","unit","n_obs","min","mean","max","sd","range","sen_per_year","sen_total","mk_tau","mk_pvalue","seasonal_amp_stl","amp_decade_first","amp_decade_last"
"T2m","Température air 2 m","K",564,285.255430072795,287.717036017073,290.250597711921,1.40411949145534,4.99516763912601,0.0166631926958634,0.783170056705579,0.131206080317497,3.21865081787109e-06,3.77834178496693,3.95600412308903,4.21105027014499
"T500","Température 500 hPa","K",564,256.977294068899,258.595924117006,260.905592133169,0.9001107836556,3.92829806427,0.0279919617066328,1.31562220021174,0.295284569263458,0,2.1613604593077,2.46065455781695,3.05377016053103
"SPFH2m","Humidité spécifique 2 m","kg/kg",564,0.0091386298792056,0.00991175496107971,0.0109004617218323,0.000393036350238793,0.0017618318426267,1.19363030533706e-05,0.000561006243508416,0.269012242555618,0,0.000994161190852477,0.000913720790613149,0.00138926262488295
"PWAT","Eau précipitable colonne","kg/m²",564,22.0214211569752,24.7084277892143,28.2149530197709,1.35864506282091,6.1935318627957,0.0522485769428192,2.4556831163125,0.355340540409088,0,3.18882042833482,2.9587841002168,4.4557132375948
"APCP","Précipitations cumulées","kg/m²",564,0.486038560867148,0.529792272038885,0.584858515665694,0.019249431579906,0.0988199547985461,0.000779310823373174,0.0366276086985392,0.373719781637192,0,0.03119936334116,0.043939446304628,0.0834801947626431
"TCDC","Couverture nuageuse totale","%",564,56.6354294249062,60.4709669828817,67.3455832231491,2.3052063868673,10.7101537982429,0.117256955090789,5.5110768892671,0.558179914951324,0,1.88282402892763,0.934501465040597,5.26557777606089
"DLWRF","LW descendant surface","W/m²",564,328.458088150487,341.196106722929,355.045057566736,7.11117508467348,26.586969416249,0.117714558378905,5.53258424380855,0.15454189479351,0,19.1894141437855,19.688675643253,22.680083635084
"ULWRF","LW ascendant surface","W/m²",564,386.347176635815,398.138277425704,410.640670180213,6.88339092437892,24.293493544398,0.0864181707631089,4.06165402586612,0.137069642543793,1.07288360595703e-06,18.5330322900911,18.919222366601,20.865504672538
"DSWRF","SW descendant surface","W/m²",564,181.35277326332,194.020165784834,204.75826982453,5.818154092854,23.40549656121,0.0821509504583772,3.86109467154373,0.124107167124748,1.04904174804688e-05,15.1964664609828,17.553213261264,17.401548549192
"USWRF","SW réfléchi surface","W/m²",564,20.6374778474283,26.1470038850884,31.7371241967702,2.86913677495247,11.0996463493419,0.0058195046093709,0.273516716640432,0.0253958627581596,0.367240190505981,9.19780870102716,8.5735712490949,9.9681370116713
"PRMSL","Pression réduite mer","Pa",564,101096.727989546,101143.168617968,101193.763335878,14.8238912675141,97.0353463320062,4.32473807905775e-05,0.00203262689715714,4.40935109509155e-05,0.998929262161255,24.8434890674587,26.8185788020055,48.3123995829956
"CSDSF","SW descendant ciel clair","W/m²",564,231.955686708823,245.853001561514,257.10793503079,7.18252454487997,25.152248321967,-0.0133609874514174,-0.627966410216617,-0.0293135773390532,0.297975718975067,20.4765626553089,20.071967649662,20.906495178246
"CSUSF","SW ascendant ciel clair","W/m²",564,26.9434738837079,32.8846092326964,38.7310028756239,2.99301100772773,11.787528991916,-0.00340902858847306,-0.160224343658234,-0.0130002629011869,0.644474148750305,9.49789189142583,8.56663926022,11.1161441850399
"CSDLF","LW descendant ciel clair","W/m²",564,303.054273723332,315.822652767998,332.069749494713,7.28630271047582,29.015475771381,0.166779912140152,7.83865587058715,0.213723316788673,0,19.1368865129339,18.926883189387,23.201455507396
"CSULF","LW ascendant ciel clair","W/m²",564,386.329816649787,398.13526981575,410.642532306038,6.89352552482682,24.312715656251,0.0861475694977993,4.04893576639657,0.136905878782272,1.19209289550781e-06,18.558034997103,18.950515762161,20.891157209797
"CDUVB","UV-B ciel clair","W/m²",564,3.69341971058853,3.96715110947928,4.20487936942544,0.13889669425787,0.51145965883691,0.000972638978645717,0.0457140319963487,0.0884446203708649,0.0016855001449585,0.372550565907523,0.35215341016438,0.41129100752193
"DUVB","UV-B all-sky","W/m²",564,3.09327645881316,3.33975881933115,3.5512315638754,0.115512242416957,0.45795510506224,0.00204267703709791,0.0960058207436016,0.161319151520729,0,0.305209919691493,0.31929437448845,0.32425224783145
"ALBDO","Albédo de surface","%",564,8.48431554799087,10.5380355803539,12.3806781041833,0.999490383045564,3.89636255619243,-0.000301146782378211,-0.0141538987717759,-0.00328785716556013,0.90722668170929,3.2558070794037,3.47537744459314,2.99261406913961
"CRE_SW","Cloud Radiative Effect SW","W/m²",564,-53.972006214761,-45.0952304290727,-37.7670771013695,3.28450394760296,16.2049291133915,0.0760911773071704,3.57628533343701,0.199664890766144,0,8.1815708576481,6.0179009107929,11.1155669935928
"CRE_LW","Cloud Radiative Effect LW","W/m²",564,22.6358547237,25.3704463449768,27.550204737416,1.05885590816528,4.914350013716,-0.0481346881435231,-2.26233034274558,-0.399846285581589,0,1.25074483929914,1.555964491861,2.8875626478129
"CRE_net","Cloud Radiative Effect net","W/m²",564,-26.9462859068209,-19.7247840840959,-13.96937021982,2.75328847210048,12.9769156870009,0.0265150627863842,1.24620795096006,0.0819696858525276,0.00360560417175293,7.797877259609,6.718333322773,9.7687334569007
