"var","jump","se","p_value","ci_lo","ci_hi","trend_per_yr","mean_var","sd_var","jump_pct","significant","jump_in_sd"
"T2m",-0.11874057660151,0.0262135390123636,7.24725434415049e-06,-0.170231478735305,-0.0672496744677146,0.0197231670182103,287.717036017073,1.40411949145534,-0.0412699151378939,TRUE,-0.084565863036655
"T500",-0.0357591303411025,0.0386196501117965,0.354887950741528,-0.111619189656635,0.0401009289744297,0.0282315103147739,258.595924117006,0.9001107836556,-0.013828187920287,FALSE,-0.0397274768733185
"SPFH2m",-4.23947838042347e-05,1.63001892242292e-05,0.00954876583601246,-7.44130262747101e-05,-1.03765413337594e-05,1.32062992973048e-05,0.00991175496107971,0.000393036350238793,-0.427722274922105,TRUE,-0.107864791077154
"PWAT",-0.0567226669841912,0.0599623172943034,0.344578320789954,-0.174505840406914,0.0610605064385319,0.0542242219839261,24.7084277892143,1.35864506282091,-0.229568095016356,FALSE,-0.0417494373890557
"APCP",0.00160655333440783,0.00199529477253095,0.421068987954128,-0.0023127773523799,0.00552588402119556,0.000710843865304728,0.529792272038885,0.019249431579906,0.303242123224084,FALSE,0.0834597804999533
"TCDC",2.62855380275126,0.184575673700361,2.11762969080316e-39,2.2659942892761,2.99111331622641,0.056705206420279,60.4709669828817,2.3052063868673,4.34680299307163,TRUE,1.14026831511749
"DLWRF",-2.4878518023459,0.200326126188034,2.17028681982084e-31,-2.88134971781337,-2.09435388687842,0.184067026573665,341.196106722929,7.11117508467348,-0.729155976086847,TRUE,-0.349851012346454
"ULWRF",-0.43192628364948,0.123368200655564,0.000500926333789396,-0.674256781007427,-0.189595786291533,0.0972832785152782,398.138277425704,6.88339092437892,-0.108486500329042,TRUE,-0.0627490561548271
"DSWRF",5.25056000863603,0.214623468343573,5.45933977179547e-90,4.82897801625864,5.67214200101341,-0.0603800756366974,194.020165784834,5.818154092854,2.70619292968693,TRUE,0.902444301893773
"USWRF",0.494923949135881,0.0654047799571095,1.61658186502497e-13,0.366450219500767,0.623397678770996,-0.00413200128485627,26.1470038850884,2.86913677495247,1.8928514766395,TRUE,0.172499252547512
"PRMSL",-26.2618420330311,1.47270532544246,1.80271885306931e-56,-29.1546572972543,-23.3690267688079,0.747388163755581,101143.168617968,14.8238912675141,-0.0259650180945248,TRUE,-1.77158895455357
"CSDSF",-0.428984864831342,0.154887623486217,0.00580114523757326,-0.733228540548051,-0.124741189114632,0.0115375411347021,245.853001561514,7.18252454487997,-0.174488357720541,TRUE,-0.0597261954554881
"CSUSF",-0.0486740912154311,0.0808879242653731,0.547590306842426,-0.207561152981098,0.110212970550236,0.0018301449056899,32.8846092326964,2.99301100772773,-0.148014807994238,FALSE,-0.0162625834284465
"CSDLF",-0.450554924801402,0.186120702965676,0.015810539422929,-0.816149318483182,-0.0849605311196215,0.178400685323728,315.822652767998,7.28630271047582,-0.142660737237356,TRUE,-0.0618358779074084
"CSULF",-0.429872750487338,0.123306934630354,0.000529057045378529,-0.672082903815938,-0.187662597158738,0.0971200700464961,398.13526981575,6.89352552482682,-0.10797153205901,TRUE,-0.0623589118425927
"CDUVB",-0.0146139833968759,0.00385298055200045,0.00016539465324688,-0.0221823412760962,-0.00704562551765561,0.00153840717813277,3.96715110947928,0.13889669425787,-0.368374760466185,TRUE,-0.10521476752891
"DUVB",0.0591747564551941,0.00361865766276355,2.82692857353399e-49,0.0520666758758727,0.0662828370345155,0.000449799320674133,3.33975881933115,0.115512242416957,1.77182723832271,TRUE,0.512281254497641
"ALBDO",0.0874857293297605,0.0257003801381042,0.000712302423866015,0.0370028182711545,0.137968640388367,-0.00281081868240742,10.5380355803539,0.999490383045564,0.830190111455505,TRUE,0.0875303362731528
"CRE_SW",5.13594683311606,0.178807346724401,1.60603735360888e-111,4.78471796674105,5.48717569949108,-0.0659554705808532,-45.0952304290727,3.28450394760296,-11.3891131817012,TRUE,1.56369026040121
"CRE_LW",-2.0352433443822,0.0688814106035512,1.26801956895114e-115,-2.17054617283861,-1.89994051592579,0.00550313278114618,25.3704463449768,1.05885590816528,-8.02210302770322,TRUE,-1.92211549152967
"CRE_net",3.10070348873386,0.130702747132176,3.26801413686352e-86,2.84396584037486,3.35744113709285,-0.060452337799707,-19.7247840840959,2.75328847210048,-15.7198348814067,TRUE,1.12618184405804
