"var","sen_per_year","sen_lo95","sen_hi95","mk_tau","mk_pvalue","mean","sd","pct_change_47y","significant"
"T2m",0.0166631926958634,0.00991960359264367,0.023096827781605,0.131206080317497,3.21865081787109e-06,287.717036017073,1.40411949145534,0.272201489194789,TRUE
"T500",0.0279919617066328,0.0231054410149452,0.0321858064031832,0.295284569263458,0,258.595924117006,0.9001107836556,0.508755969261318,TRUE
"SPFH2m",1.19363030533706e-05,9.57288652616362e-06,1.42713351982145e-05,0.269012242555618,0,0.00991175496107971,0.000393036350238793,5.66000920837237,TRUE
"PWAT",0.0522485769428192,0.0454249788601816,0.0595534397466631,0.355340540409088,0,24.7084277892143,1.35864506282091,9.93864578216689,TRUE
"APCP",0.000779310823373174,0.00066171188929255,0.000875921129025004,0.373719781637192,0,0.529792272038885,0.019249431579906,6.91357927090541,TRUE
"TCDC",0.117256955090789,0.107242813561019,0.125735982305497,0.558179914951324,0,60.4709669828817,2.3052063868673,9.11359147080812,TRUE
"DLWRF",0.117714558378905,0.0757563410895712,0.159318218288592,0.15454189479351,0,341.196106722929,7.11117508467348,1.62152619411373,TRUE
"ULWRF",0.0864181707631089,0.0555135022251031,0.117836826572051,0.137069642543793,1.07288360595703e-06,398.138277425704,6.88339092437892,1.02016165140616,TRUE
"DSWRF",0.0821509504583772,0.043047360525086,0.113354903238577,0.124107167124748,1.04904174804688e-05,194.020165784834,5.818154092854,1.99004812511378,TRUE
"USWRF",0.0058195046093709,-0.00609904403113038,0.0198041533471262,0.0253958627581596,0.367240190505981,26.1470038850884,2.86913677495247,1.04607288025233,FALSE
"PRMSL",4.32473807905775e-05,-0.0839682636528004,0.0895416796368781,4.40935109509155e-05,0.998929262161255,101143.168617968,14.8238912675141,2.0096531727562e-06,FALSE
"CSDSF",-0.0133609874514174,-0.0316867851930011,0.0138714336625668,-0.0293135773390532,0.297975718975067,245.853001561514,7.18252454487997,-0.255423527973277,FALSE
"CSUSF",-0.00340902858847306,-0.0167254485814128,0.0153574860812516,-0.0130002629011869,0.644474148750305,32.8846092326964,2.99301100772773,-0.487232013384932,FALSE
"CSDLF",0.166779912140152,0.121921999814349,0.202397100802389,0.213723316788673,0,315.822652767998,7.28630271047582,2.481980251222,TRUE
"CSULF",0.0861475694977993,0.0547894356425,0.116902456084355,0.136905878782272,1.19209289550781e-06,398.13526981575,6.89352552482682,1.01697490108584,TRUE
"CDUVB",0.000972638978645717,0.00032338899064429,0.00155780707595575,0.0884446203708649,0.0016855001449585,3.96715110947928,0.13889669425787,1.15231385784922,TRUE
"DUVB",0.00204267703709791,0.00133943976971028,0.00266517490675036,0.161319151520729,0,3.33975881933115,0.115512242416957,2.87463334741125,TRUE
"ALBDO",-0.000301146782378211,-0.00587957311123572,0.0039791198384114,-0.00328785716556013,0.90722668170929,10.5380355803539,0.999490383045564,-0.134312497465497,FALSE
"CRE_SW",0.0760911773071704,0.0549472795327326,0.0932132542776318,0.199664890766144,0,-45.0952304290727,3.28450394760296,-7.93051792708303,TRUE
"CRE_LW",-0.0481346881435231,-0.0530510962860328,-0.0413282771141339,-0.399846285581589,0,25.3704463449768,1.05885590816528,-8.91718778606949,TRUE
"CRE_net",0.0265150627863842,0.00876019904398906,0.0437671404127251,0.0819696858525276,0.00360560417175293,-19.7247840840959,2.75328847210048,-6.31798019003348,TRUE
