"date","observed","trend_ssm","slope_ssm"
1979-01-01,336.56,335.632666449199,0.135653337281497
1979-02-01,337.29,336.037020953139,0.135564177953199
1979-03-01,337.88,336.356628692233,0.135413950038903
1979-04-01,338.32,336.560851368602,0.135240890292961
1979-05-01,338.26,336.653518769485,0.13508195710907
1979-06-01,337.39,336.783779831026,0.134924623575183
1979-07-01,335.57,336.727804766045,0.13483063359955
1979-08-01,334.37,336.983891446829,0.13469640893548
1979-09-01,335.02,337.665231362709,0.134380799246179
1979-10-01,336.36,337.823313875487,0.134057324950695
1979-11-01,337.36,337.619628346826,0.133845919115277
1979-12-01,337.89,337.425664138417,0.133743285903139
1980-01-01,338.57,337.6426664492,0.133613026019989
1980-02-01,339.26,338.007020953129,0.133406202438082
1980-03-01,339.6,338.076628692244,0.133220548202801
1980-04-01,340,338.240851368628,0.133024606967433
1980-05-01,340.44,338.833518769481,0.13267614892959
1980-06-01,339.99,339.383779831019,0.132189129564386
1980-07-01,338.44,339.597804766032,0.131674955775047
1980-08-01,337.22,339.833891446792,0.131126136511773
1980-09-01,337.05,339.69523136272,0.130666836614977
1980-10-01,337.82,339.28331387552,0.130387574841791
1980-11-01,338.93,339.189628346829,0.130182664094502
1980-12-01,339.64,339.175664138402,0.1300255835762
1981-01-01,340.18,339.2526664492,0.129886097024623
1981-02-01,340.75,339.497020953149,0.129708628031809
1981-03-01,341.38,339.856628692225,0.12945487485098
1981-04-01,341.68,339.9208513686,0.129222766752947
1981-05-01,341.43,339.823518769497,0.129065833335
1981-06-01,340.63,340.023779831043,0.128885276205982
1981-07-01,339.23,340.387804766028,0.128626695991714
1981-08-01,338.08,340.693891446791,0.128309231727038
1981-09-01,337.97,340.615231362733,0.12806044317897
1981-10-01,339.07,340.533313875504,0.12788132865378
1981-11-01,340.17,340.429628346823,0.127779051701395
1981-12-01,340.74,340.275664138412,0.127770261651716
1982-01-01,341.36,340.432666449198,0.127751771942382
1982-02-01,341.95,340.697020953131,0.127687955270089
1982-03-01,342.23,340.706628692241,0.127663319494884
1982-04-01,342.52,340.760851368605,0.127663052495196
1982-05-01,342.37,340.763518769488,0.127704261044261
1982-06-01,341.49,340.883779831031,0.127747939365514
1982-07-01,339.75,340.907804766021,0.127826034632231
1982-08-01,338.11,340.723891446822,0.128007569983476
1982-09-01,338.16,340.805231362742,0.128204590405893
1982-10-01,339.61,341.073313875498,0.128355197105006
1982-11-01,340.95,341.209628346823,0.128503162790119
1982-12-01,341.77,341.305664138399,0.128661901666301
1983-01-01,342.37,341.442666449188,0.128817873061849
1983-02-01,342.74,341.487020953142,0.129001870749017
1983-03-01,343.04,341.516628692249,0.129218848992706
1983-04-01,343.51,341.750851368619,0.12940098529345
1983-05-01,343.84,342.233518769491,0.12946590216893
1983-06-01,343.5,342.893779831023,0.129354692753403
1983-07-01,342.14,343.297804766008,0.129152343375196
1983-08-01,340.62,343.23389144681,0.129014056259937
1983-09-01,340.53,343.175231362738,0.128938042414641
1983-10-01,341.75,343.213313875497,0.128892175881682
1983-11-01,342.83,343.089628346828,0.1289301186554
1983-12-01,343.49,343.025664138418,0.129032066840213
1984-01-01,344.32,343.392666449183,0.129055052706525
1984-02-01,344.82,343.567020953129,0.129063007493162
1984-03-01,344.96,343.436628692245,0.129157053671733
1984-04-01,345.19,343.430851368622,0.129295873226593
1984-05-01,345.33,343.72351876948,0.129380483505595
1984-06-01,344.57,343.963779831043,0.129428301842143
1984-07-01,343.2,344.357804766034,0.129388322800008
1984-08-01,342.21,344.823891446785,0.129236621878108
1984-09-01,342.13,344.77523136272,0.129143949917659
1984-10-01,342.99,344.453313875518,0.129200947328784
1984-11-01,344.16,344.419628346832,0.129311993067912
1984-12-01,345,344.535664138386,0.129427444062232
1985-01-01,345.35,344.422666449204,0.129623335578308
1985-02-01,345.8,344.547020953164,0.129820975376664
1985-03-01,346.64,345.116628692215,0.129872686919734
1985-04-01,346.94,345.180851368604,0.129946182182295
1985-05-01,346.78,345.173518769506,0.130065228731742
1985-06-01,346.26,345.653779831032,0.130068074724215
1985-07-01,344.92,346.077804766008,0.129973381146857
1985-08-01,343.41,346.023891446811,0.129939704106531
1985-09-01,343.37,346.015231362738,0.129952016684226
1985-10-01,344.64,346.103313875498,0.129978222230427
1985-11-01,345.79,346.049628346829,0.130065370335482
1985-12-01,346.55,346.0856641384,0.130183718952939
1986-01-01,347.11,346.182666449183,0.130313077690304
1986-02-01,347.34,346.087020953152,0.130517413082616
1986-03-01,347.71,346.186628692247,0.13073200479724
1986-04-01,348.22,346.460851368606,0.13089898402081
1986-05-01,348.32,346.713518769492,0.131025558543534
1986-06-01,347.76,347.153779831028,0.131049523799333
1986-07-01,346.29,347.447804766021,0.131019411217019
1986-08-01,344.92,347.533891446804,0.131004208030574
1986-09-01,344.86,347.505231362734,0.13104198400017
1986-10-01,346.03,347.493313875508,0.131127196200085
1986-11-01,347.3,347.559628346809,0.131233914294779
1986-12-01,347.76,347.2956641384,0.131471765423258
1987-01-01,348.01,347.082666449214,0.131823917005189
1987-02-01,348.57,347.317020953154,0.132142047304761
1987-03-01,349.29,347.766628692239,0.132354837429636
1987-04-01,349.98,348.220851368606,0.132460826677248
1987-05-01,350.26,348.653518769472,0.132467202600369
1987-06-01,349.46,348.853779831032,0.132451083440931
1987-07-01,347.84,348.997804766034,0.13243112389314
1987-08-01,346.61,349.223891446804,0.132380087939368
1987-09-01,346.7,349.345231362732,0.132332715290572
1987-10-01,347.97,349.433313875504,0.132300025564007
1987-11-01,349.25,349.509628346833,0.132285912736353
1987-12-01,350.21,349.745664138398,0.132237374045862
1988-01-01,350.92,349.992666449192,0.132150754520814
1988-02-01,351.47,350.217020953138,0.13203354032263
1988-03-01,351.85,350.326628692244,0.131923767362598
1988-04-01,352.3,350.540851368612,0.131786686313294
1988-05-01,352.46,350.853518769482,0.131589586160937
1988-06-01,351.76,351.153779831034,0.131336518125612
1988-07-01,350.27,351.427804766031,0.131036103800122
1988-08-01,349.09,351.703891446806,0.130687559382109
1988-09-01,349.27,351.915231362723,0.130312253227167
1988-10-01,350.44,351.903313875504,0.129984141166245
1988-11-01,351.62,351.879628346832,0.129707019150185
1988-12-01,352.47,352.005664138395,0.129431115305932
1989-01-01,353.01,352.082666449195,0.12917260817436
1989-02-01,353.47,352.21702095315,0.128912381607205
1989-03-01,354.01,352.486628692233,0.128605470078748
1989-04-01,354.38,352.620851368599,0.128296694671746
1989-05-01,354.19,352.583518769488,0.128042877703384
1989-06-01,353.27,352.663779831034,0.127804915502928
1989-07-01,351.57,352.727804766033,0.127588116516206
1989-08-01,350.22,352.833891446822,0.12737845204844
