"horizon","MAE","RMSE"
1,0.0819711686774269,0.103476698734385
2,0.171934446083204,0.218035000972539
3,0.225369093352485,0.289260239349839
4,0.265074127652627,0.339043989968016
5,0.299272140089836,0.379397784814217
6,0.326623867765453,0.413770072191507
7,0.348613331437894,0.446693920970071
8,0.374406633812728,0.478334635436633
9,0.39630693417813,0.508880095213689
10,0.417993443475229,0.539259620298617
11,0.437329311597409,0.571245114040386
12,0.454250461464432,0.604831869659182
