"date","observed","predicted","lo80","hi80","anomaly"
2020-01-01,412.43,412.433827301234,412.268738302996,412.598916299472,-0.00382730123362762
2020-02-01,412.95,413.006807762284,412.662443296703,413.351172227864,-0.0568077622837109
2020-03-01,413.44,413.477383414957,413.0316047581,413.923162071813,-0.0373834149566505
2020-04-01,413.86,413.848158080873,413.334879142713,414.361437019034,0.0118419191269368
2020-05-01,413.81,413.831175986122,413.257852032895,414.404499939349,-0.0211759861217047
2020-06-01,412.88,412.966915918644,412.336926047685,413.596905789602,-0.0869159186439674
2020-07-01,411.17,411.321528449489,410.639430660875,412.003626238103,-0.151528449488751
2020-08-01,409.73,410.015613294471,409.285500947971,410.745725640971,-0.285613294471091
2020-09-01,410,410.198562207759,409.423461486609,410.97366292891,-0.198562207759437
2020-10-01,411.66,411.635041277842,410.817361912632,412.452720643051,0.0249587221583738
2020-11-01,413.25,413.079217898832,412.22105404951,413.937381748154,0.170782101167731
2020-12-01,414.14,414.055932377796,413.15911933679,414.952745418802,0.0840676222035199
2021-01-01,414.73,414.76532620993,413.827220773727,415.703431646132,-0.0353262099296785
2021-02-01,415.2,415.322231155116,414.341033851171,416.303428459061,-0.122231155116424
2021-03-01,415.49,415.791111703686,414.769118488183,416.813104919189,-0.301111703686217
2021-04-01,415.81,416.165890354422,415.105358952039,417.226421756804,-0.355890354421661
2021-05-01,416.01,416.148847650745,415.051107256812,417.246588044678,-0.138847650745333
2021-06-01,415.2,415.286327347732,414.152470462859,416.420184232605,-0.0863273477315829
2021-07-01,413.45,413.641657321239,412.472791686806,414.810522955672,-0.191657321238779
2021-08-01,412.15,412.338066714006,411.135233717218,413.540899710794,-0.188066714006425
2021-09-01,412.38,412.523925524801,411.28806195033,413.759789099273,-0.143925524801489
2021-10-01,413.83,413.964295050665,412.696257095031,415.232333006298,-0.134295050664889
2021-11-01,415.58,415.407970978778,414.108554028321,416.707387929235,0.172029021221931
2021-12-01,416.6,416.382404823454,415.052349605749,417.71246004116,0.217595176545672
